age_min,state,income_max,priority,ministry,scheme_type,benefits,category,description,eligibility,scheme_name,occupation,target_group,gender,age_max,family_income_max,age_group,income_group,combined_text
10,all,1000000.0,Not Available,Ministry of Finance,Not Available,Bank account + insurance,financial inclusion,Financial inclusion,Unbanked citizens,Pradhan Mantri Jan Dhan Yojana,all,General Public,all,100,Not Available,child,upper_middle,Pradhan Mantri Jan Dhan Yojana financial inclusion Financial inclusion Bank account + insurance General Public
0,all,300000.0,Not Available,Ministry of Health,Not Available,₹5 lakh insurance,health,Healthcare scheme,BPL families,Ayushman Bharat PM-JAY,all,Poor Families,all,100,Not Available,,middle,Ayushman Bharat PM-JAY health Healthcare scheme ₹5 lakh insurance Poor Families
18,rural,600000.0,Not Available,Ministry of Agriculture,Not Available,₹6000/year,farmer,Income support,Farmers,PM Kisan Samman Nidhi,farmer,Farmers,all,70,Not Available,child,upper_middle,PM Kisan Samman Nidhi farmer Income support ₹6000/year Farmers
18,rural,1000000.0,Not Available,Ministry of Agriculture,Not Available,Crop insurance,farmer,Crop protection,Farmers,PM Fasal Bima Yojana,farmer,Farmers,all,70,Not Available,child,upper_middle,PM Fasal Bima Yojana farmer Crop protection Crop insurance Farmers
18,all,600000.0,Not Available,Ministry of Housing,Not Available,House subsidy,housing,Affordable housing,EWS/LIG,PM Awas Yojana,all,Poor Families,all,70,Not Available,child,upper_middle,PM Awas Yojana housing Affordable housing House subsidy Poor Families
0,all,500000.0,Not Available,Ministry of Women,Not Available,Education support,women,Promote girls education,Girl child,Beti Bachao Beti Padhao,student,Girls,female,25,Not Available,,middle,Beti Bachao Beti Padhao women Promote girls education Education support Girls
18,all,500000.0,Not Available,Ministry of Finance,Not Available,Pension,pension,Retirement support,Workers 18-40,Atal Pension Yojana,worker,Workers,all,40,Not Available,child,middle,Atal Pension Yojana pension Retirement support Pension Workers
18,all,1000000.0,Not Available,Ministry of Finance,Not Available,Loan up to 10L,startup,Business support,Small business,PM Mudra Yojana,business,Entrepreneurs,all,65,Not Available,child,upper_middle,PM Mudra Yojana startup Business support Loan up to 10L Entrepreneurs
18,all,1000000.0,Not Available,Ministry of Finance,Not Available,Loan for SC/ST/Women,startup,Business promotion,SC/ST/Women,Stand Up India,business,Women/SC/ST,all,65,Not Available,child,upper_middle,Stand Up India startup Business promotion Loan for SC/ST/Women Women/SC/ST
10,all,1000000.0,Not Available,MeitY,Not Available,Digital services,digital,Digital empowerment,All citizens,Digital India,all,General Public,all,100,Not Available,child,upper_middle,Digital India digital Digital empowerment Digital services General Public
18,rural,200000.0,Not Available,Petroleum Ministry,Not Available,Free LPG,women,Clean fuel,BPL women,PM Ujjwala Yojana,housewife,Women,female,60,Not Available,child,low,PM Ujjwala Yojana women Clean fuel Free LPG Women
18,urban,300000.0,Not Available,Housing Ministry,Not Available,Loan for vendors,startup,Vendor support,Street vendors,PM SVANidhi,vendor,Urban Poor,all,60,Not Available,child,middle,PM SVANidhi startup Vendor support Loan for vendors Urban Poor
18,rural,300000.0,Not Available,Rural Ministry,Not Available,SHG support,rural development,Livelihood,Rural poor,DAY-NRLM,worker,Rural Poor,all,60,Not Available,child,middle,DAY-NRLM rural development Livelihood SHG support Rural Poor
18,urban,300000.0,Not Available,Housing Ministry,Not Available,Skill + loan,urban development,Urban jobs,Urban poor,DAY-NULM,worker,Urban Poor,all,60,Not Available,child,middle,DAY-NULM urban development Urban jobs Skill + loan Urban Poor
60,all,300000.0,Not Available,Rural Ministry,Not Available,Pension,social welfare,Social security,BPL elderly,NSAP,unemployed,Elderly,all,100,Not Available,adult,middle,NSAP social welfare Social security Pension Elderly
18,all,1000000.0,Not Available,Finance Ministry,Not Available,₹2L insurance,insurance,Life insurance,18-50,PMJJBY,all,General Public,all,50,Not Available,child,upper_middle,PMJJBY insurance Life insurance ₹2L insurance General Public
18,all,1000000.0,Not Available,Finance Ministry,Not Available,₹2L accident,insurance,Accident insurance,18-70,PMSBY,all,General Public,all,70,Not Available,child,upper_middle,PMSBY insurance Accident insurance ₹2L accident General Public
18,all,500000.0,Not Available,Skill Ministry,Not Available,Training,skill,Skill dev,Youth,Skill India,student,Youth,all,35,Not Available,child,middle,Skill India skill Skill dev Training Youth
18,all,1000000.0,Not Available,DPIIT,Not Available,Tax benefits,startup,Startup support,Startups,Startup India,business,Entrepreneurs,all,65,Not Available,child,upper_middle,Startup India startup Startup support Tax benefits Entrepreneurs
18,all,1000000.0,Not Available,Commerce Ministry,Not Available,Industrial support,manufacturing,Manufacturing,Businesses,Make in India,business,Business,all,65,Not Available,child,upper_middle,Make in India manufacturing Manufacturing Industrial support Business
18,rural,800000.0,Not Available,Renewable Ministry,Not Available,Solar pumps,energy,Solar scheme,Farmers,PM KUSUM,farmer,Farmers,all,65,Not Available,child,upper_middle,PM KUSUM energy Solar scheme Solar pumps Farmers
18,coastal,600000.0,Not Available,Fisheries Ministry,Not Available,Fisher support,fisheries,Fisheries growth,Fish farmers,PM Matsya Sampada,fisherman,Fishermen,all,60,Not Available,child,upper_middle,PM Matsya Sampada fisheries Fisheries growth Fisher support Fishermen
5,all,300000.0,Not Available,Education Ministry,Not Available,Free meals,student,Nutrition,School students,Mid Day Meal,student,Students,all,15,Not Available,child,middle,Mid Day Meal student Nutrition Free meals Students
10,all,400000.0,Not Available,Education Ministry,Not Available,Scholarships,student,Education support,Students,National Scholarship Portal,student,Students,all,30,Not Available,child,middle,National Scholarship Portal student Education support Scholarships Students
0,uttar pradesh,300000.0,Not Available,UP Govt,Not Available,Financial aid,women,Support girls,Girl child,Mukhyamantri Kanya Sumangala,student,Women,female,25,Not Available,,middle,Mukhyamantri Kanya Sumangala women Support girls Financial aid Women
16,uttar pradesh,300000.0,Not Available,UP Govt,Not Available,Laptop,student,Digital support,Students,UP Free Laptop Scheme,student,Students,all,25,Not Available,child,middle,UP Free Laptop Scheme student Digital support Laptop Students
18,uttar pradesh,300000.0,Not Available,UP Govt,Not Available,Allowance,employment,Support unemployed,Unemployed youth,UP बेरोजगारी भत्ता,unemployed,Youth,all,35,Not Available,child,middle,UP बेरोजगारी भत्ता employment Support unemployed Allowance Youth
40,uttar pradesh,200000.0,Not Available,UP Govt,Not Available,Pension,women,Support women,Women,Rani Lakshmi Bai Pension,unemployed,Women,female,100,Not Available,adult,low,Rani Lakshmi Bai Pension women Support women Pension Women
18,uttar pradesh,500000.0,Not Available,UP Govt,Not Available,Loan waiver,farmer,Debt relief,Farmers,UP किसान ऋण मोचन,farmer,Farmers,all,70,Not Available,child,middle,UP किसान ऋण मोचन farmer Debt relief Loan waiver Farmers
18,delhi,500000.0,Not Available,Delhi Govt,Not Available,Free electricity,subsidy,Utility subsidy,Residents,Delhi Free Electricity Scheme,all,General Public,all,100,Not Available,child,middle,Delhi Free Electricity Scheme subsidy Utility subsidy Free electricity General Public
0,delhi,300000.0,Not Available,Delhi Govt,Not Available,Financial support,women,Encourage education,Girls,Delhi Ladli Scheme,student,Girls,female,25,Not Available,,middle,Delhi Ladli Scheme women Encourage education Financial support Girls
21,madhya pradesh,300000.0,Not Available,MP Govt,Not Available,Monthly aid,women,Women empowerment,Women,Mukhyamantri Ladli Behna Yojana,unemployed,Women,female,60,Not Available,youth,middle,Mukhyamantri Ladli Behna Yojana women Women empowerment Monthly aid Women
18,odisha,500000.0,Not Available,Odisha Govt,Not Available,Income support,farmer,Farming support,Farmers,KALIA Scheme,farmer,Farmers,all,70,Not Available,child,middle,KALIA Scheme farmer Farming support Income support Farmers
0,odisha,300000.0,Not Available,Odisha Govt,Not Available,Health insurance,health,Healthcare,Poor families,Biju Swasthya Kalyan Yojana,all,Poor Families,all,100,Not Available,,middle,Biju Swasthya Kalyan Yojana health Healthcare Health insurance Poor Families
0,karnataka,300000.0,Not Available,Karnataka Govt,Not Available,Health coverage,health,Healthcare,Residents,Arogya Karnataka,all,General Public,all,100,Not Available,,middle,Arogya Karnataka health Healthcare Health coverage General Public
18,karnataka,300000.0,Not Available,Karnataka Govt,Not Available,Monthly support,women,Financial aid,Women,Gruha Lakshmi Scheme,housewife,Women,female,60,Not Available,child,middle,Gruha Lakshmi Scheme women Financial aid Monthly support Women
0,maharashtra,300000.0,Not Available,Maharashtra Govt,Not Available,Health insurance,health,Healthcare,BPL,Mahatma Jyotiba Phule Scheme,all,Poor Families,all,100,Not Available,,middle,Mahatma Jyotiba Phule Scheme health Healthcare Health insurance Poor Families
0,rajasthan,300000.0,Not Available,Rajasthan Govt,Not Available,Financial aid,women,Girl support,Girl child,Rajshree Yojana,student,Women,female,25,Not Available,,middle,Rajshree Yojana women Girl support Financial aid Women
25,andhra pradesh,300000.0,Not Available,AP Govt,Not Available,Financial aid,student,Education support,Mothers of students,Amma Vodi,housewife,Women,female,50,Not Available,youth,middle,Amma Vodi student Education support Financial aid Women
13,west bengal,300000.0,Not Available,WB Govt,Not Available,Scholarship,women,Education support,Girls,Kanyashree Prakalpa,student,Women,female,25,Not Available,child,middle,Kanyashree Prakalpa women Education support Scholarship Women
0,bihar,300000.0,Not Available,Bihar Govt,Not Available,Financial support,women,Encourage education,Girls,Chief Minister Girl Child Scheme,student,Women,female,25,Not Available,,middle,Chief Minister Girl Child Scheme women Encourage education Financial support Women
18,tamil nadu,300000.0,Not Available,TN Govt,Not Available,Marriage assistance,women,Social welfare,Women,Tamil Nadu Marriage Scheme,unemployed,Women,female,40,Not Available,child,middle,Tamil Nadu Marriage Scheme women Social welfare Marriage assistance Women
0,madhya pradesh,300000.0,Not Available,MP Govt,Not Available,Financial aid,women,Empower girls,Girls,Ladli Laxmi Yojana,student,Women,female,25,Not Available,,middle,Ladli Laxmi Yojana women Empower girls Financial aid Women
16,madhya pradesh,300000.0,Not Available,MP Govt,Not Available,Scholarship,student,Merit support,Students,Mukhyamantri Medhavi Yojana,student,Students,all,25,Not Available,child,middle,Mukhyamantri Medhavi Yojana student Merit support Scholarship Students
16,madhya pradesh,300000.0,Not Available,MP Govt,Not Available,Scooty,student,Encourage girls,Top students,MP Free Scooty Scheme,student,Girls,female,25,Not Available,child,middle,MP Free Scooty Scheme student Encourage girls Scooty Girls
18,rajasthan,300000.0,Not Available,Rajasthan Govt,Not Available,Smartphone,digital,Digital empowerment,Women,Rajasthan Free Mobile Scheme,housewife,Women,female,60,Not Available,child,middle,Rajasthan Free Mobile Scheme digital Digital empowerment Smartphone Women
18,haryana,300000.0,Not Available,Haryana Govt,Not Available,Allowance,employment,Youth employment,Graduates,Haryana Saksham Yuva,unemployed,Youth,all,35,Not Available,child,middle,Haryana Saksham Yuva employment Youth employment Allowance Youth
18,punjab,300000.0,Not Available,Punjab Govt,Not Available,Marriage aid,women,Support marriage,Women,Punjab Shagun Scheme,unemployed,Women,female,40,Not Available,child,middle,Punjab Shagun Scheme women Support marriage Marriage aid Women
16,gujarat,300000.0,Not Available,Gujarat Govt,Not Available,Laptop subsidy,student,Digital support,Students,Gujarat Laptop Sahay Yojana,student,Students,all,25,Not Available,child,middle,Gujarat Laptop Sahay Yojana student Digital support Laptop subsidy Students
18,maharashtra,300000.0,Not Available,MH Govt,Not Available,Low-cost food,food,Affordable food,Poor,Maharashtra Shiv Bhojan Yojana,all,Poor Families,all,100,Not Available,child,middle,Maharashtra Shiv Bhojan Yojana food Affordable food Low-cost food Poor Families
0,kerala,300000.0,Not Available,Kerala Govt,Not Available,Medical aid,health,Healthcare,Poor,Kerala Karunya Scheme,all,Poor Families,all,100,Not Available,,middle,Kerala Karunya Scheme health Healthcare Medical aid Poor Families
18,assam,300000.0,Not Available,Assam Govt,Not Available,Monthly aid,women,Financial support,Women,Assam Orunodoi Scheme,housewife,Women,female,60,Not Available,child,middle,Assam Orunodoi Scheme women Financial support Monthly aid Women
18,jharkhand,300000.0,Not Available,Jharkhand Govt,Not Available,Employment,employment,Job support,Youth,Jharkhand Mukhyamantri Yojana,unemployed,Youth,all,35,Not Available,child,middle,Jharkhand Mukhyamantri Yojana employment Job support Employment Youth
18,chhattisgarh,500000.0,Not Available,CG Govt,Not Available,Income support,farmer,Farming support,Farmers,Chhattisgarh Rajiv Gandhi Nyay Yojana,farmer,Farmers,all,65,Not Available,child,middle,Chhattisgarh Rajiv Gandhi Nyay Yojana farmer Farming support Income support Farmers
18,telangana,500000.0,Not Available,Telangana Govt,Not Available,Investment support,farmer,Farming scheme,Farmers,Telangana Rythu Bandhu,farmer,Farmers,all,65,Not Available,child,middle,Telangana Rythu Bandhu farmer Farming scheme Investment support Farmers
18,tamil nadu,300000.0,Not Available,TN Govt,Not Available,Subsidized food,food,Food support,Urban poor,Tamil Nadu Amma Canteen,all,Poor Families,all,100,Not Available,child,middle,Tamil Nadu Amma Canteen food Food support Subsidized food Poor Families
0,west bengal,300000.0,Not Available,WB Govt,Not Available,Health insurance,health,Healthcare,Residents,West Bengal Swasthya Sathi,all,General Public,all,100,Not Available,,middle,West Bengal Swasthya Sathi health Healthcare Health insurance General Public
18,bihar,400000.0,Not Available,Bihar Govt,Not Available,Education loan,student,Higher education,Students,Bihar Student Credit Card Scheme,student,Students,all,30,Not Available,child,middle,Bihar Student Credit Card Scheme student Higher education Education loan Students
18,odisha,300000.0,Not Available,Odisha Govt,Not Available,SHG support,women,Empowerment,Women,Odisha Mission Shakti,worker,Women,female,60,Not Available,child,middle,Odisha Mission Shakti women Empowerment SHG support Women
18,uttar pradesh,300000.0,Not Available,UP Govt,Not Available,Women safety,women,Empowerment,Women,UP Mission Shakti,all,Women,female,60,Not Available,child,middle,UP Mission Shakti women Empowerment Women safety Women
18,delhi,300000.0,Not Available,Delhi Govt,Not Available,Skill training,skill,Skill development,Youth,Delhi Skill Mission,student,Youth,all,35,Not Available,child,middle,Delhi Skill Mission skill Skill development Skill training Youth
18,karnataka,300000.0,Not Available,Karnataka Govt,Not Available,Allowance,employment,Youth support,Graduates,Karnataka Yuva Nidhi,unemployed,Youth,all,35,Not Available,child,middle,Karnataka Yuva Nidhi employment Youth support Allowance Youth
18,all,800000.0,Not Available,Ministry of Social Justice & Empowerment,Not Available,Full/partial funding for foreign studies,student,Supports higher education abroad,SC/ST/OBC/EWS students with low income,National Overseas Scholarship,student,Students,all,35,Not Available,child,upper_middle,National Overseas Scholarship student Supports higher education abroad Full/partial funding for foreign studies Students
18,all,800000.0,Not Available,Ministry of Social Justice & Empowerment,Not Available,Interest subsidy on education loan,student,Supports overseas education loans,OBC/EWS students,Dr Ambedkar Scheme of Interest Subsidy on Educational Loans for Overseas Studies,student,Students,all,35,Not Available,child,upper_middle,Dr Ambedkar Scheme of Interest Subsidy on Educational Loans for Overseas Studies student Supports overseas education loans Interest subsidy on education loan Students
18,all,600000.0,Not Available,Ministry of Minority Affairs,Not Available,Interest subsidy for foreign studies loans,student,Promotes overseas education,Minority students,Padho Pardesh Scheme,student,Students,all,35,Not Available,child,upper_middle,Padho Pardesh Scheme student Promotes overseas education Interest subsidy for foreign studies loans Students
18,all,600000.0,Not Available,Ministry of Tribal Affairs,Not Available,Scholarship for foreign education,student,Supports tribal students abroad,ST students,National Overseas Scholarship for ST Students,student,Students,all,35,Not Available,child,upper_middle,National Overseas Scholarship for ST Students student Supports tribal students abroad Scholarship for foreign education Students
21,all,1000000.0,Not Available,Ministry of External Affairs / USIEF,Not Available,Full funding for study in USA,student,International exchange scholarship,Meritorious Indian students,Fulbright-Nehru Fellowship (India-US),student,Students,all,40,Not Available,youth,upper_middle,Fulbright-Nehru Fellowship (India-US) student International exchange scholarship Full funding for study in USA Students
21,all,1000000.0,Not Available,Ministry of Education / UK Govt,Not Available,Full scholarship in UK,student,Study in UK universities,Meritorious students,Commonwealth Scholarship (UK),student,Students,all,40,Not Available,youth,upper_middle,Commonwealth Scholarship (UK) student Study in UK universities Full scholarship in UK Students
21,all,1000000.0,Not Available,Private Foundation,Not Available,Full funding abroad,student,Supports higher studies abroad,Top rank students,Inlaks Shivdasani Foundation Scholarship,student,Students,all,35,Not Available,youth,upper_middle,Inlaks Shivdasani Foundation Scholarship student Supports higher studies abroad Full funding abroad Students
21,all,1000000.0,Not Available,Tata Trusts,Not Available,Loan scholarship,student,Supports foreign studies,Indian students,JN Tata Endowment Scholarship,student,Students,all,45,Not Available,youth,upper_middle,JN Tata Endowment Scholarship student Supports foreign studies Loan scholarship Students
21,all,1000000.0,Not Available,Mahindra Foundation,Not Available,Interest-free loan,student,Supports overseas education,Indian graduates,KC Mahindra Scholarship for Foreign Studies,student,Students,all,35,Not Available,youth,upper_middle,KC Mahindra Scholarship for Foreign Studies student Supports overseas education Interest-free loan Students
18,uttar pradesh,600000.0,Not Available,UP Govt,Not Available,Financial aid for abroad studies,student,Supports foreign education,UP students,Chief Minister Overseas Scholarship Scheme,student,Students,all,35,Not Available,child,upper_middle,Chief Minister Overseas Scholarship Scheme student Supports foreign education Financial aid for abroad studies Students
18,uttar pradesh,600000.0,Not Available,UP Govt,Not Available,Scholarship for SC/ST abroad,student,Foreign education support,SC/ST students UP,UP Dr Ambedkar Overseas Scholarship,student,Students,all,35,Not Available,child,upper_middle,UP Dr Ambedkar Overseas Scholarship student Foreign education support Scholarship for SC/ST abroad Students
18,rajasthan,800000.0,Not Available,Rajasthan Govt,Not Available,Funding for foreign education,student,Supports top students abroad,Rajasthan students,Rajiv Gandhi Scholarship for Academic Excellence,student,Students,all,35,Not Available,child,upper_middle,Rajiv Gandhi Scholarship for Academic Excellence student Supports top students abroad Funding for foreign education Students
18,west bengal,600000.0,Not Available,West Bengal Govt,Not Available,Scholarship for study abroad,student,Supports higher education abroad,WB students,Swami Vivekananda Merit-cum-Means Overseas Scholarship,student,Students,all,35,Not Available,child,upper_middle,Swami Vivekananda Merit-cum-Means Overseas Scholarship student Supports higher education abroad Scholarship for study abroad Students
18,madhya pradesh,600000.0,Not Available,MP Govt,Not Available,Financial support abroad,student,Foreign education support,MP students,Chief Minister Overseas Scholarship Scheme (MP),student,Students,all,35,Not Available,child,upper_middle,Chief Minister Overseas Scholarship Scheme (MP) student Foreign education support Financial support abroad Students
18,tamil nadu,600000.0,Not Available,TN Govt,Not Available,Scholarship for abroad study,student,Supports foreign education,TN students,Tamil Nadu Overseas Scholarship Scheme,student,Students,all,35,Not Available,child,upper_middle,Tamil Nadu Overseas Scholarship Scheme student Supports foreign education Scholarship for abroad study Students
18,karnataka,600000.0,Not Available,Karnataka Govt,Not Available,Scholarship for foreign studies,student,Supports overseas education,Karnataka students,Karnataka Overseas Scholarship Scheme,student,Students,all,35,Not Available,child,upper_middle,Karnataka Overseas Scholarship Scheme student Supports overseas education Scholarship for foreign studies Students
18,telangana,600000.0,Not Available,Telangana Govt,Not Available,Full funding abroad,student,Foreign education scheme,SC/ST/Minority students,Telangana Overseas Scholarship Scheme (Ambedkar),student,Students,all,35,Not Available,child,upper_middle,Telangana Overseas Scholarship Scheme (Ambedkar) student Foreign education scheme Full funding abroad Students
18,andhra pradesh,600000.0,Not Available,AP Govt,Not Available,Financial aid abroad,student,Supports overseas studies,AP students,Andhra Pradesh Overseas Scholarship Scheme,student,Students,all,35,Not Available,child,upper_middle,Andhra Pradesh Overseas Scholarship Scheme student Supports overseas studies Financial aid abroad Students
18,kerala,600000.0,Not Available,Kerala Govt,Not Available,Scholarship abroad,student,Supports higher education abroad,Kerala students,Kerala Overseas Scholarship Scheme,student,Students,all,35,Not Available,child,upper_middle,Kerala Overseas Scholarship Scheme student Supports higher education abroad Scholarship abroad Students
0,all,400000.0,Medium,Ministry of Women & Child Development,Government,As per official scheme guidelines,women,Government welfare scheme,As per government norms,Indira Mahila Shakti Udyam Protsahan Yojana,all,General Public,female,100,500000,,middle,Indira Mahila Shakti Udyam Protsahan Yojana women Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Mukhyamantri Shramik Aujaar Sahayata Yojana,all,General Public,all,100,500000,,middle,Mukhyamantri Shramik Aujaar Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,all,General Public,all,100,500000,,middle,Nirman Shramik Jeevan va Bhavishya Suraksha Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,all,General Public,all,100,500000,,middle,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",all,General Public,all,100,500000,,middle,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme general Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",all,General Public,all,100,500000,,middle,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme general Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",all,General Public,all,100,500000,,middle,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" health Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Ministry of Agriculture,Government,As per official scheme guidelines,farmer,Government welfare scheme,As per government norms,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",farmer,General Public,all,100,500000,,middle,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme farmer Government welfare scheme As per official scheme guidelines General Public"
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",unemployed,General Public,all,100,500000,adult,middle,"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme pension Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",all,General Public,all,100,500000,,middle,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme general Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,15 Days Skill Up-gradation Training,all,General Public,all,100,500000,,middle,15 Days Skill Up-gradation Training general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,all,General Public,all,100,500000,,middle,6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,unemployed,General Public,all,100,500000,adult,middle,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,all,General Public,all,100,500000,,middle,AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,all,General Public,all,100,500000,,middle,AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aahar Anudan Yojana,all,General Public,all,100,500000,,middle,Aahar Anudan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,all,General Public,all,100,500000,,middle,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aam Aadmi Bima Yojana,all,General Public,all,100,500000,,middle,Aam Aadmi Bima Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aam Aadmi Bima Yojana (Maharashtra),all,General Public,all,100,500000,,middle,Aam Aadmi Bima Yojana (Maharashtra) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aapki Beti Yojana,all,General Public,all,100,500000,,middle,Aapki Beti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aastha Yojana,all,General Public,all,100,500000,,middle,Aastha Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Aaws Bhatta Sahayata Yojana,all,General Public,all,100,500000,,middle,Aaws Bhatta Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Abdul Kalam Technology Innovation National Fellowship,all,General Public,all,100,500000,,middle,Abdul Kalam Technology Innovation National Fellowship general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Abhinandan Education Loan Subsidy Scheme,all,General Public,all,100,500000,,middle,Abhinandan Education Loan Subsidy Scheme msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Abua Awas Yojana,all,General Public,all,100,500000,,middle,Abua Awas Yojana general Government welfare scheme As per official scheme guidelines General Public
