ministry,scheme_type,family_income_max,priority,category,age_max,description,scheme_name,income_max,target_group,occupation,state,age_min,eligibility,benefits,gender
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Awasiya Vidyala Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,300000,High,Health,100,Government welfare scheme,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bakri Palan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bal Sakha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Balika Samrithi Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Banglar Awaas Yojana (BAY),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Baristha Nagarika Tirtha Yatra Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Beej Masaale Ki Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Beti Hai Anmol Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - 1st Class to 5th Class,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - 6th Class to 10th Class,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - Graduation,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - Intermediate or Equivalent,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - Post-Graduation,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education - Professional Education Course,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bhavantar Bharpai Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bhed Palan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bhraman - Darshan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Bihar Disability Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi AIDS Pirit Kalyan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Bihar Startup Policy,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Bihar State Journalist Insurance Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Biju Pucca Ghar Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Biju Swasthya Kalyan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Biju Yuva Sashaktikaran Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bima Yojana - Direct Benefit to Artisan,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bina Mulya Samajik Suraksha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Birsa Awas Nirman Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Birsa Harit Gram Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Block Level Institute for Rural Skill Acquisition (BIRSA),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Bunkar Parivar Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Capacity Building For Service Providers - Skill Testing & Certification,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,High,General,100,Government welfare scheme,Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Central Vigilance Commission (CVC) Internship Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chai Vikas Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chhattisgarh Mukhyamantri Kanya Vivah Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Arogya Arunachal Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister BC & EBC Chhatravas Anudan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister EBC Civil Seva Protsahan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Chief Minister Ekal Nari Samman Pension Yojana,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Floriculture Mission,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Chief Minister Higher Education Encouragement Scholarship Scheme,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Chief Minister Higher Education Scholarship Scheme,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Housing Assistance Programme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Kanya Utthan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Ladli Behna Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Nari Shakti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Chief Minister Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister Samagra Gramya Unnayan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Chief Minister Specially Abled Samman Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Chief Minister's Comprehensive Health Insurance Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister's Jeevan Jyoti Swaniyojan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister's Krishi Rinn Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Chief Minister's State Disability Pension Scheme - Sikkim,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,High,General,100,Government welfare scheme,Chief Ministergi Artistesinggi Tengbang (CMAT) – Scheme Of Festival Assistance For Participating In International & National Festival,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Chief Minister’s Comprehensive Health Insurance Scheme - Tamil Nadu,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Chief Minister’s Health Insurance Scheme - Nagaland,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister’s Krishi Samuh Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister’s Paryatan Siksha Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister’s Paryatan Vikas Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Agriculture,Government,500000,Medium,Farmer,100,Government welfare scheme,Chief Minister’s Shasakt Kisan Yojana,Not Available,General Public,Farmer,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Chief Minister’s Startup/innovation Projects/new Industries,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chief Minister’s Yuva Kaushal Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chikitsa Pratipoorti Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Chikitsa Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Children Education Allowance,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Children Education Assistance Fund,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Cluster Mei Bagwani Ki Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Cluster Mei Bagwani Ki Yojana-II,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Coconut Palm Insurance Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Coir Udyami Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Coir Vikas Yojana- Export Market Promotion Scheme,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Women & Child Development,Government,500000,Medium,Women,100,Government welfare scheme,Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,Female
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,Comprehensive Educational Loan Scheme - Sikkim,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Consolidated Stipend Scheme for Scheduled Caste Students Pursuing Higher Education,Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Continuation of Pension (K.B.O.C.W.W.B),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Credit Based Schemes For SC - Aajeevika Micro-Finance Yojana (Livelihood Microfinance Scheme),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Cycle Anudaan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Cycle Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Dattopant Thengadi Mratak Shramik Aarthik Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Dayanand Bandodkar Scheme For Higher Education For Orphans,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Deen Dayal Divyangjan Pension Scheme - Assam,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Swasthya Seva Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Upadhyay Grameen Kaushalya Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Upadhyay Kaushal Kendra (DDUKK)- Mega Skill Centre,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Deen Dayal Upadhyaya Bunkar Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,High,General,100,Government welfare scheme,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Delhi Pension Scheme To Women In Distress (Widow Pension),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,Female
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Dependent Children Pension Scheme - Punjab,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Agriculture,Government,500000,Medium,Farmer,100,Government welfare scheme,Destitute Agricultural Labourers Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Destitute Differently Abled Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Destitute Widow Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Destitute/Deserted Wives Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Devnarayan Gurukul Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Devnarayan Pratibhawan Chhatra Protsahan Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Dhanvantari Arogya Rath Yojana (GBOCWWB),Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Various Ministries,Government,500000,Medium,General,100,Government welfare scheme,Dhobhi Hetu Avashyak Upkaran Sahayata Yojana,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Differently Abled Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension (A.B.O.C.W.W.B),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension (BBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension (GBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension (HPBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension (MBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension - West Bengal,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension For Registered Worker (HBOCWWB),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disability Pension for the Construction Workers,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Disabled Person Pension Scheme - Punjab,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,Distance Education Scheme for Girls,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Education,Government,500000,Medium,Student,100,Government welfare scheme,"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses",Not Available,General Public,Student,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Health,Government,500000,Medium,Health,100,Government welfare scheme,Distribution of Soil Health Card,Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of MSME,Government,500000,Medium,MSME/Startup,100,Government welfare scheme,"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan",Not Available,General Public,All,All,0,As per government norms,As per official scheme guidelines,All
Ministry of Rural Development,Government,500000,Medium,Pension,100,Government welfare scheme,Divyang Pension Scheme,Not Available,General Public,Unemployed,All,60,As per government norms,As per official scheme guidelines,All
all,all,Not Available,Not Available,"business,women",60,loan support for small businesses,Pradhan Mantri Mudra Yojana,1000000,Women Entrepreneurs,Business,All,18,all,all,Female
all,all,Not Available,Not Available,"business,women",65,loan support for women entrepreneurs,Stand Up India Scheme,1000000,Women Entrepreneurs,Business,All,18,all,all,Female
all,all,Not Available,Not Available,"business,women",55,financial support for women entrepreneurs,Mahila Udyam Nidhi Scheme,1000000,Women Entrepreneurs,Business,All,18,all,all,Female
all,all,Not Available,Not Available,"business,women",60,subsidy-based scheme for women business owners,PMEGP (Women),1000000,Women Entrepreneurs,Business,All,18,all,all,Female
all,all,Not Available,Not Available,"business,women",55,support for women from low-income groups to start business,Udyogini Scheme,300000,Women Entrepreneurs,Business,All,18,all,all,Female
